INFO  22:15:34,936 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:34,942 | james.mailetcontainer | Mailet PostmasterAlias instantiated.
INFO  22:15:34,950 | james.mailetcontainer | Matcher RelayLimit=30 instantiated.
INFO  22:15:34,953 | james.mailetcontainer | Mailet Null instantiated.
INFO  22:15:34,958 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:15:34,962 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:15:34,967 | james.mailetcontainer | Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
INFO  22:15:34,968 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:15:34,969 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:34,969 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:15:34,972 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:15:34,975 | james.mailetcontainer | Mailet SetMimeHeader instantiated.
INFO  22:15:34,976 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:34,983 | james.mailetcontainer | Mailet VirtualUserTable instantiated.
INFO  22:15:34,989 | james.mailetcontainer | Matcher RecipientIsLocal instantiated.
INFO  22:15:35,008 | james.mailetcontainer | Mailet LocalDelivery instantiated.
INFO  22:15:35,012 | james.mailetcontainer | Matcher HostIsLocal instantiated.
INFO  22:15:35,013 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:15:35,014 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,031 | james.mailetcontainer | Mailet RemoteDelivery instantiated.
INFO  22:15:35,033 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,091 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:15:35,095 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,102 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:15:35,104 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,110 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:15:35,111 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,118 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:15:35,119 | james.mailetcontainer | Matcher All instantiated.
INFO  22:15:35,138 | james.mailetcontainer | Mailet DSNBounce instantiated.
INFO  22:15:35,707 | james.mailetcontainer | JamesSpoolManager init...
INFO  22:15:35,708 | james.mailetcontainer | Spooler Manager uses 20 Thread(s)
INFO  22:15:35,709 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #1
INFO  22:15:35,709 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #2
INFO  22:15:35,709 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #3
INFO  22:15:35,710 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #0
