INFO  22:56:54,973 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  22:56:54,977 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloCmdHandler
INFO  22:56:54,978 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  22:56:54,978 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  22:56:54,982 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  22:56:54,982 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  22:56:54,984 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  22:56:54,984 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  22:56:54,985 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  22:56:54,985 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  22:56:54,986 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  22:56:54,987 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  22:56:54,987 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  22:56:55,013 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.DataLineLMTPMessageHookHandler
INFO  22:56:55,017 | james.lmtpserver | LMTP Service disabled by configuration
INFO  22:58:07,018 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloWelcomeMessageHandler
INFO  22:58:07,020 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  22:58:07,021 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  22:58:07,022 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  22:58:07,026 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloCmdHandler
INFO  22:58:07,027 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  22:58:07,028 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  22:58:07,029 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  22:58:07,030 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  22:58:07,031 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  22:58:07,031 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  22:58:07,032 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  22:58:07,032 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  22:58:07,033 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  22:58:07,033 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  22:58:07,034 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  22:58:07,057 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.DataLineLMTPMessageHookHandler
INFO  22:58:07,060 | james.lmtpserver | LMTP Service disabled by configuration
INFO  23:03:53,626 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloWelcomeMessageHandler
INFO  23:03:53,627 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.SMTPCommandDispatcherLineHandler
INFO  23:03:53,628 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesDataCmdHandler
INFO  23:03:53,629 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ExpnCmdHandler
INFO  23:03:53,632 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.LhloCmdHandler
INFO  23:03:53,633 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesMailCmdHandler
INFO  23:03:53,633 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.NoopCmdHandler
INFO  23:03:53,634 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.QuitCmdHandler
INFO  23:03:53,634 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.JamesRcptCmdHandler
INFO  23:03:53,635 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.fastfail.ValidRcptHandler
INFO  23:03:53,635 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.RsetCmdHandler
INFO  23:03:53,636 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.VrfyCmdHandler
INFO  23:03:53,636 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.esmtp.MailSizeEsmtpExtension
INFO  23:03:53,637 | james.lmtpserver | Added Handler: org.apache.james.smtpserver.AuthRequiredToRelayRcptHook
INFO  23:03:53,638 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.PostmasterAbuseRcptHook
INFO  23:03:53,639 | james.lmtpserver | Added Handler: org.apache.james.protocols.smtp.core.ReceivedDataLineFilter
INFO  23:03:53,663 | james.lmtpserver | Added Handler: org.apache.james.lmtpserver.DataLineLMTPMessageHookHandler
INFO  23:03:53,666 | james.lmtpserver | LMTP Service disabled by configuration
