INFO  22:15:35,099 | james.mailstore | added repository: file://var/mail/spam/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:15:35,100 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:15:35,101 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  22:15:35,101 | james.mailstore | added repository: file://var/mail/spam/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:15:35,102 | james.mailstore | added repository: file://var/mail/spam/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:15:35,105 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:15:35,106 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  22:15:35,107 | james.mailstore | added repository: file://var/mail/address-error/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:15:35,108 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:15:35,108 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  22:15:35,109 | james.mailstore | added repository: file://var/mail/address-error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:15:35,109 | james.mailstore | added repository: file://var/mail/address-error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:15:35,112 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:15:35,113 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  22:15:35,113 | james.mailstore | added repository: file://var/mail/relay-denied/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:15:35,114 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:15:35,116 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  22:15:35,116 | james.mailstore | added repository: file://var/mail/relay-denied/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:15:35,117 | james.mailstore | added repository: file://var/mail/relay-denied/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:22:36,043 | james.mailstore | JamesMailStore init...
INFO  22:22:36,048 | james.mailstore | Registering Repository instance of class org.apache.james.mailrepository.file.FileMailRepository to handle file protocol requests for repositories of type MAIL with key fileMAIL
